Player_id, Player_name, Player_team1, Appearances1, Player_team2, Appearances2
41868,Johann Berg Gudmundsson,184,41
8247,Mark Noble,29,46
101374,John Stones,167,43
299451,Ademola Lookman,31,30
319889,Kane Wilson,175,11
24248,Diego Costa,15,36
90918,Tom Ince,166,17
101373,Tommie Hoban,27,1
100008,Victor Lindelof,32,9
144711,Leroy Sane,167,47
260780,Jack Rose,175,1
135663,Lucas Perez,13,17
29106,Dejan Lovren,26,46
299271,Axel Tuanzebe,32,10
299272,Ben Chilwell,14,43
23757,Alvaro Negredo,21,37
34123,Alfred N'Diaye,214,15
274630,Jerome Sinclair,27,16
145999,Jay Fulton,259,21
105577,Lazar Markovic,214,12
73798,Thibaut Courtois,15,53
22932,Nordin Amrabat,27,32
13938,Sam Vokes,184,53
349484,Ben Johnson,29,1
344695,Tashan Oakley-Boothe,30,1
329820,Harry Lewis,18,1
108226,Mohamed Salah,26,17
331582,Domingos Quina,29,15
12376,Yohan Cabaye,162,47
5625,Aaron Lennon,31,31
294516,Josh Robson,16,1
122926,Solly March,211,17
42947,Rajiv van La Parra,166,14
329677,Mateusz Hewelt,31,6
141172,Wesley Hoedt,18,14
28746,Brad Guzan,21,36
74603,Joselu,23,16
70050,Marcos Rojo,32,29
25829,Jamie Murphy,211,6
14102,David Silva,167,52
21571,Wayne Hennessey,162,52
13727,Mile Jedinak,162,1
79970,Pape Souare,162,5
280766,Jeremie Boga,15,1
29814,Max Gradel,183,21
325156,Josh Maja,16,4
273257,Oleksandr Zinchenko,167,5
22847,Jack Cork,259,36,184,17
22846,Ryan Bertrand,18,49
347436,Beni Baningime,31,5
21778,Jan Vertonghen,30,50
23683,Danny Simpson,14,54
3841,John O'Shea,16,34
75198,Matty James,14,6
343975,Nikola Vlasic,31,10
112009,Paul Dummett,23,1
110260,Sead Kolasinac,13,17
101605,Mike van der Hoorn,259,40
255505,Jake Hesketh,18,1
86794,Anthony Knockaert,211,16
71015,Gokhan Tore,29,6
12713,David Jones,184,1
125211,Hector Bellerin,13,51
38772,Geoff Cameron,96,30
80921,Shkodran Mustafi,13,38
317506,Tammy Abraham,259,16
317507,Fikayo Tomori,15,3
73078,Alexandre Lacazette,13,17
13756,Mesut Ozil,13,47
131171,Jonas Lossl,166,17
68312,Christian Benteke,162,48
68648,Matt Ritchie,23,17
124688,Divock Origi,26,40
32224,Nsue,21,11
100718,Stephen Kingsley,259,23
8806,Alex Baptiste,21,2
73380,Chris Wood,184,13
83895,Enner Valencia,31,32,29,3
44055,Pedro,15,53
40027,Jonjo Shelvey,23,15
43742,Jordon Mutch,162,8
33318,Beram Kayal,211,5
19847,Leonardo Ulloa,14,29
69346,Gylfi Sigurdsson,31,16,259,38
69344,Christian Eriksen,30,55
18181,Phil Bardsley,184,13,96,27
135242,Sandro Ramirez,31,9
302206,Ashley Fletcher,29,31
28416,Jefferson Montero,259,18
12462,Valon Behrami,27,31
2837,Jermain Defoe,183,14,16,37
58761,M'Baye Niang,27,16
140889,Baily Cargill,183,11
90810,Bruno Martins Indi,96,46
332418,Michael Ledger,16,1
74341,Joel Matip,26,44
108860,Davy Klaassen,31,8
122554,Nahki Wells,184,4
33891,Jay Rodriguez,18,31,175,17
34239,Sofiane Feghouli,29,31
104010,Antonio Rudiger,15,17
26222,Shinji Okazaki,14,52
29026,Zanka,166,17
13447,Andrew Surman,183,39
79050,Ashley Westwood,184,32
76050,James McClean,175,54
64343,Adlene Guedioura,27,20,21,8
8505,Glenn Whelan,96,35
349485,Nathan Trott,29,1
8507,Chris Brunt,175,45
34693,Marko Arnautovic,29,14,96,32
106981,Jamie Vardy,14,52
284123,Alex Pike,29,2
23122,Asmir Begovic,183,17,15,38
113275,Alberto Moreno,26,51
86173,Philipp Wollscheid,96,2
118244,Luke Shaw,32,18
294849,Lynden Gooch,16,19
294848,Pablo Maffeo,167,2
116615,Mouez Hassen,18,13
67807,Harry Arter,183,50
143990,Harry Winks,30,43
30060,Andre Ayew,29,41
244779,Marko Grujic,26,23
39308,Danny Welbeck,13,28
80067,Matthew Lowton,184,50
318871,Trent Alexander-Arnold,26,37
118326,Dwight Gayle,23,15
105339,Molla Wague,27,6
6042,Gael Clichy,167,35
141931,Freddie Ladapo,162,4
75691,Nicolas Otamendi,167,49
75692,Shane Duffy,211,17
11624,Orestis Karnezis,27,14
10620,Anders Lindegaard,184,11
188,Gareth Barry,31,36,175,14
106872,Borja Baston,259,28
2115,Michael Carrick,32,36
343270,Jason Eyenga Lokilo,162,3
318896,Angus Gunn,167,5
24238,Dale Stephens,211,17
295603,Bartosz Kapustka,14,8
3874,Paul Robinson,184,30
335753,Dion Pereira,27,5
76810,Gabriel Paulista,13,32
8572,Dimitrios Konstantopoulos,21,12
13805,Adrian Mariappa,27,31
97635,Andre Carrillo,27,15
69844,Yannick Bolasie,31,13,162,1
11235,Sebastian Larsson,16,23
3281,Zlatan Ibrahimovic,32,33
106028,Jese,96,13
296332,Lys Mousset,183,30
109227,Javier Manquillo,23,17,16,32
302386,James Weir,214,14
255169,Ainsley Maitland-Niles,13,15
131487,Andre Gray,27,17,184,34
10498,James Morrison,175,40
43712,Cuco Martina,18,16,31,14
86458,Ben Gibson,21,38
317541,Brahim Diaz,167,1
344324,Jayson Molumby,211,3
318153,Aaron Mooy,166,17
108724,Ahmed Hegazi,175,17
19736,Lewis Grabban,183,3
71522,Andros Townsend,162,54
80882,Fabio Borini,16,26
101664,Chris Lowe,166,17
69933,Toby Alderweireld,30,40
110189,Jordan Pickford,31,17,16,31
34822,George Friend,21,24
35565,Niki Maenpaa,211,5
149599,Didier Ndong,16,31
312670,Hamza Choudhury,14,1
312739,Timothy Fosu-Mensah,32,10,162,16
69525,Luciano Narsingh,259,29
134887,Georges-Kevin Nkoudou,30,28
24148,Erik Pieters,96,55
89998,Manuel Lanzini,29,47
14805,Younes Kaboul,27,26,16,1
279379,Gabriel Jesus,167,27
78559,Daniel Ayala,21,21
107940,Will Keane,214,8
278129,George Honeyman,16,15
109915,Sadio Mane,26,39
280663,Aleix Garcia,167,14
107176,Loris Karius,26,52
70,John Terry,15,22
86425,Nathan Redmond,18,54
32323,Daryl Janmaat,27,41
25363,Juan Mata,32,47
77464,Ilkay Gundogan,167,23
78152,Marvin Zeegelaar,27,7
312920,Olufela Olomola,18,2
29474,Dusan Tadic,18,50
29574,Yohan Benalouane,14,14
29575,Mamadou Sakho,162,20
27213,Fabian Delph,167,28
29809,Eric Maxim Choupo-Moting,96,17
280060,Antonio Martinez,29,3
83601,Mika,16,16
12480,Ibrahim Afellay,96,26
29595,Moussa Sissoko,30,48
68049,Aaron Cresswell,29,44
30051,Laurent Koscielny,13,47
8157,Wes Morgan,14,44
135724,Harrison Reed,18,11
135727,Alfie Mawson,259,47
92331,Florin Gardos,18,3
4574,Glen Johnson,96,31
33833,Jack Rodwell,16,25
42686,Jack Wilshere,183,28,13,15
92550,Jack Stephens,18,28
13361,Fernando Llorente,259,33,30,14
8786,Joe Hart,167,3,29,16
243814,Eric Bailly,32,36
81726,Phil Jones,32,32
315290,Jonathan Leko,175,28
31376,Odion Ighalo,27,22
34098,Eduardo,15,2
7616,David Nugent,21,9
342565,Kyle Scott,15,3
28421,Henrikh Mkhitaryan,32,38
34302,Nacer Chadli,175,41
326414,Jonathan Benteke,162,1
335593,Matty Willock,32,2
93309,James Husband,21,1
349750,Rayhaan Tulloch,175,1
135837,Tommy Smith,166,17
122980,Arthur Masuaku,29,33
34131,Kyle Naughton,259,53
79442,Ezequiel Schelotto,211,13
82102,Charlie Austin,18,32
299450,Renato Sanches,259,9
12431,Christian Fuchs,14,51
109670,Patrick Bamford,21,11,184,13
83335,Danny Williams,166,15
297544,Mason Holgate,31,52
141312,Davide Zappacosta,15,13
84146,Alex Oxlade Chamberlain,13,36,26,14
11020,Joe Ledley,162,22
96257,Christian Atsu,23,13
44847,Federico Fernandez,259,43
332416,Michael Folivi,27,2
332411,Brandon Mason,27,8
332410,Charlie Rowan,27,1
332412,Carl Stewart,27,2
141414,Brad Smith,183,33
138785,Joe Lolley,166,3
12267,Aleksandar Kolarov,167,38
36745,David Ospina,13,48
81959,Giannelli Imbula,96,27
70099,Ciaran Clark,23,17
14111,Artur Boruc,183,51
14114,Victor Anichebe,16,20
91822,Jeffrey Schlupp,14,9,162,33
92804,Elias Kachunga,166,17
126958,DeAndre Yedlin,23,14
71647,Simone Zaza,29,11
19471,Bacary Sagna,167,24
14058,Dimitri Payet,29,18
69877,Adam Smith,183,52
69090,Markus Henriksen,214,23
14053,Yaya Toure,167,38
69878,Ryan Mason,214,18,30,2
8327,Charlie Adam,96,54
131464,James Tarkowski,184,55
68393,Christian Kabasele,27,38
316077,Tom Davies,31,42
17708,Tom Heaton,184,39
107941,Michael Keane,31,14,184,35
21742,Havard Nordtveit,29,28
107942,Ezekiel Fryers,162,19
135366,Ayoze Perez,23,17
11367,Mathieu Debuchy,13,2
75138,Daniel Drinkwater,15,8,14,29
74921,Manolo Gabbiadini,18,28
134115,Callum Wilson,183,31
130964,Edimilson Fernandes,29,44
110154,Memphis Depay,32,5
35328,Albert Adomah,21,2
33404,Eden Hazard,15,50
33403,Rudy Gestede,21,17
75919,Kiko Femenia,27,15
88300,Danilo,167,17
29796,Fraser Forster,18,55
107846,Kevin Stewart,26,9
74586,Ryan Allsop,183,18
33568,Georginio Wijnaldum,26,53
145277,Philip Billing,166,8
9002,David Marshall,214,35
78193,Fredrik Ulvestad,184,3
5487,Gerhard Tremmel,259,1
303387,Marcus Browne,29,2
122294,Chuba Akpom,13,1
27586,David Luiz,15,44
77429,Davy Propper,211,17
4759,Wayne Routledge,259,45
109000,Jesse Lingard,32,48
27421,Andrea Ranocchia,214,16
6775,Petr Cech,13,52
68659,Jordan Henderson,26,40
68852,Eliaquim Mangala,167,17
15834,Kevin Mirallas,31,44
332836,Joel Taylor,96,1
40036,Matt Phillips,175,42
83078,Kieran Trippier,30,45
336915,Scott McTominay,32,13
330545,Sead Haksabanovic,29,1
19859,Jose Fonte,18,20,29,26
86454,Jeff Hendrick,184,46
296522,Connor Randall,26,1
122366,Anthony Martial,32,48
18296,Antonio Valencia,32,45
82593,Jonathan Hogg,166,12
90802,Jordy Clasie,18,31
22738,Marouane Fellaini,32,41
132360,Christopher Schindler,166,16
333044,Harry Wilson,26,1
29545,Steve Mandanda,162,9
29544,Morgan Schneiderlin,32,7,31,28
91434,Allan Nyom,175,51,27,2
66957,Giedrius Arlauskis,27,5
320639,Filip Lesniak,30,2
20339,James McArthur,162,45
27512,Jeremain Lens,16,3
297165,Keshi Anderson,162,3
82923,Gaston Ramirez,21,24
135259,Steve Mounie,166,13
115726,Andrew Robertson,214,34,26,7
101135,Adam Reach,21,1
26236,Kristoffer Nordfeldt,259,53
1034,Shay Given,96,32
6321,Mathieu Flamini,162,26
111212,Emre Can,26,49
35174,Leroy Fer,259,54
34171,Erwin Mulder,259,2
122945,Nathan Ake,183,35,15,10
13298,Samir Nasri,167,1
329842,Thibaud Verlinden,96,2
30395,Darron Gibson,16,13
36096,Miguel Britos,27,38
141451,Matthew Pennington,31,9
313672,Kyle Walker-Peters,30,9
42248,Jeremy Pied,18,12
4835,Joey Barton,184,14
4522,Santi Cazorla,13,8
123167,Tyrone Mings,183,30
38128,Nemanja Matic,32,17,15,36
316858,Aaron Ramsdale,183,2
141510,Reece Burke,29,2
141512,Duncan Watmore,16,14
288795,Rob Holding,13,27
300299,Marcus Rashford,32,54
107462,Charlie Taylor,184,10
23736,Daniel Sturridge,26,41
34949,Henri Saivet,23,3
13797,Adam Federici,183,22
13796,Theo Walcott,13,43
13798,Shane Long,18,48
66741,Cheikhou Kouyate,29,44
14013,Lukas Jutkiewicz,184,3
323442,Ben Hinchcliffe,214,1
74606,Kevin Long,184,22
254550,Matt Macey,13,5
101859,Pierre-Emile Hjbjerg,18,44
8409,Rickie Lambert,175,3
27188,Mohamed Diame,23,16
93647,Benik Afobe,183,50
13814,Nathan Dyer,259,22
104035,Michael Hefele,166,6
105962,Benjamin Mendy,167,4
75177,Marc Muniesa,96,30
71327,Kyle Bartley,259,2
85070,Marten de Roon,21,35
91267,Nolito,167,26
90983,Muhamed Besic,31,8
23072,Nacho Monreal,13,54
42147,Marc Albrighton,14,54
243548,Jose Izquierdo,211,15
84796,Raphael Spiegel,29,2
44687,Martin Kelly,162,42
25604,Hugo Lloris,30,50
21427,Glenn Murray,211,15
74077,Scott Malone,166,15
41065,Oscar,15,13
108638,Will Hughes,27,7
83683,Serge Aurier,30,13
134258,Connor Goldson,211,10
69945,Cedric Soares,18,45
14085,Antonio Barragan,21,30
131519,Dele Alli,30,53
141469,Dominic Calvert-Lewin,31,31
93160,Ryan Fraser,183,47
5835,Darren Fletcher,175,38,96,17
67491,Jordan Ayew,259,31
9298,Simon Francis,183,48
90278,Nampalys Mendy,14,11
18538,Jesus Gamez,23,10
335107,Juan Foyth,30,9
20973,Lukasz Fabianski,259,54
83456,Papy Djilobodji,16,30
83455,Bryan Oviedo,31,10,16,11
67327,Bernardo Espinosa,21,34
18310,Eldin Jakupovic,214,38
71174,Ander Herrera,32,51
280770,Alex Palmer,175,6
145940,Isaac Success,27,30
327852,Ovie Ejaria,26,10
33930,James Tomkins,162,41
28981,Tomer Hemed,211,14
19545,Kasper Schmeichel,14,47
27550,Kieran Gibbs,13,31,175,14
14268,Lee Cattermole,16,9
22079,Jonny Evans,175,45
15764,Stephen Ward,184,54
26820,Aaron Ramsey,13,39
14260,Sergio Aguero,167,47
303379,Donald Love,16,25
29463,Willian,15,51
136824,Alex Iwobi,13,50
81523,Mat Ryan,211,17
29299,Fraizer Campbell,162,24
323564,Julien Ngoy,96,9
44031,Fabio,21,28
33477,Markus Suttner,211,14
312584,Joel Pereira,32,3
37204,Maya Yoshida,18,55
