CHE,15
ARS,13
MCI,167
TOT,30
STK,96
WAT,27
BUR,184
WHU,29
BHA,211
HUD,166
NEW,23
SOU,18
CRY,162
WBA,175
SWA,259
BOU,183
LIV,26
LEI,14
MU,32
EVE,31
