73399,Adrian
322595,Josh Clackstone
133381,Vincent Janssen
322596,Jarrod Bowen
14179,Uwe Hunemeier
130330,Lloyd Isgrove
69956,Tom Cleverley
19494,Sam Baldock
11981,Gary Cahill
114075,N'Golo Kante
23444,Joe Allen
322594,Greg Olley
3553,Steven Pienaar
140088,Adama Traore
4145,Robert Huth
121454,Ramiro Funes Mori
295133,Kieran O'Hara
33748,Martin Olsson
24711,Danny Rose
275887,Daniel Agyei
107395,Jack Butland
19155,Steven Defour
73084,Kevin De Bruyne
3859,Wayne Rooney
73382,Connor Wickham
108055,Islam Slimani
19277,Winston Reid
19270,Michel Vorm
2856,Alexander Manninger
73063,Craig Dawson
19782,Darren Randolph
125209,Mohamed El Neny
255961,Jonjoe Kenny
255962,Joe Williams
104368,Chancel Mbemba
243552,Daniel Amartey
317804,Richarlison
98317,Gerard Deulofeu
71714,Victor Wanyama
69375,Nathaniel Clyne
99165,Danny Ward
8236,Billy Jones
33831,Sergio Romero
142438,Sam McQueen
6292,Per Mertesacker
13450,Robert Elliot
26682,Juan Zuniga
32018,Andy King
260451,Sullay Kaikai
80758,Florian Lejeune
289253,Kelechi Iheanacho
298599,Jakob Haugaard
69778,Kyle Walker
75830,Erik Lamela
70483,Karl Darlow
327683,Wilfred Ndidi
8730,Leon Britton
8040,Cesc Fabregas
9156,Jason Puncheon
121488,Evandro
134668,Tendayi Darikwa
34052,Vicente Iborra
31558,Neil Taylor
136466,Freddie Woodman
136396,Julien de Sart
303172,Charly Musonda
260779,Reece Oxford
23547,Angelo Ogbonna
9484,Victor Valdes
108176,Roque Mesa
14524,Mauro Zarate
330916,Josh Sims
84129,Matej Vydra
17876,Rene Gilmartin
94024,Saido Berahino
70140,Adam Clayton
141246,Jairo Riedewald
106880,Laurent Depoitre
90549,Jiri Skalak
135211,Tiemoue Bakayoko
136945,Demarai Gray
12124,Scott Dann
35371,Hal Robson-Kanu
9734,Steven Davis
14038,Craig Gardner
3807,Peter Crouch
90000,Roberto Pereyra
8462,Boaz Myhill
8466,Damien Delaney
332124,Ethan Robson
322655,Davinson Sanchez
322652,Joel Asoro
248351,Modou Barrow
32720,Gaetan Bong
21686,Scott Arfield
8943,Arouna Kone
21682,Vito Mannone
21683,Adam Lallana
8194,Tom Huddlestone
8195,Lee Grant
19119,Fernandinho
9767,Robert Snodgrass
255777,Ruben Loftus-Cheek
135732,Hiram Boateng
35691,Claudio Yacob
138695,Oliver McBurnie
85059,Wilfried Zaha
36849,Jake Livermore
103837,Ben Davies
3860,Jonathan Walters
14621,Marcin Wasilewski
133445,Jonathan Calleri
71824,Pascal Gro¤
243562,Adama Diomande
244565,Paddy McNair
331928,Rekeem Harper
34974,Bakary Sako
331924,Aaron Wan-Bissaka
130331,Andreas Christensen
130334,Adnan Januzaj
29820,Angel Rangel
31958,Fernando
8408,Ashley Williams
71345,Chris Smalling
69517,Michail Antonio
345336,Levi Lumeka
11530,Ben Foster
34876,Ahmed El Mohamady
41589,David Meyler
11869,Liam Rosenior
243511,Jason Denayer
13056,George Boyd
127119,Isaiah Brown
82972,Adam Forshaw
83297,Diafra Sakho
43948,Costel Pantilimon
328106,Alfie Whiteman
83357,Jordi Amat
30635,Martin Caceres
338118,Elliott Moore
323097,Aiden O'Neill
14244,Pablo Zabaleta
23220,Matteo Darmian
4616,Shaun Maloney
288989,Dael Fry
23054,Loic Remy
31826,Seamus Coleman
235743,Rolando Aarons
6105,Phil Jagielka
13846,Dan Gosling
94935,Ben Mee
94936,Omar Elabdellaoui
24444,Olivier Giroud
27349,Sebastian Prodl
331089,Andrew Eleftheriou
277239,Jeff Reine-Adelaide
132838,Kenedy
30524,Kamil Grosicki
76304,Xherdan Shaqiri
10839,Ragnar Klavan
33590,Etienne Capoue
136896,Florent Hadergjonaj
8166,Ashley Young
31281,James McCarthy
9446,Jesus Navas
9794,Michael Kightly
106086,Kurt Zouma
22319,Tim Krul
135865,Connor Roberts
92547,Ross Barkley
40560,Aleksandar Dragovic
41868,Johann Berg Gudmundsson
8247,Mark Noble
101374,John Stones
299451,Ademola Lookman
319889,Kane Wilson
24248,Diego Costa
90918,Tom Ince
101373,Tommie Hoban
100008,Victor Lindelof
144711,Leroy Sane
260780,Jack Rose
135663,Lucas Perez
29106,Dejan Lovren
299271,Axel Tuanzebe
299272,Ben Chilwell
23757,Alvaro Negredo
34123,Alfred N'Diaye
274630,Jerome Sinclair
145999,Jay Fulton
105577,Lazar Markovic
73798,Thibaut Courtois
22932,Nordin Amrabat
13938,Sam Vokes
349484,Ben Johnson
344695,Tashan Oakley-Boothe
329820,Harry Lewis
108226,Mohamed Salah
331582,Domingos Quina
12376,Yohan Cabaye
5625,Aaron Lennon
294516,Josh Robson
122926,Solly March
42947,Rajiv van La Parra
329677,Mateusz Hewelt
141172,Wesley Hoedt
28746,Brad Guzan
74603,Joselu
70050,Marcos Rojo
25829,Jamie Murphy
14102,David Silva
21571,Wayne Hennessey
13727,Mile Jedinak
79970,Pape Souare
280766,Jeremie Boga
29814,Max Gradel
325156,Josh Maja
273257,Oleksandr Zinchenko
22847,Jack Cork
22846,Ryan Bertrand
347436,Beni Baningime
21778,Jan Vertonghen
23683,Danny Simpson
3841,John O'Shea
75198,Matty James
343975,Nikola Vlasic
112009,Paul Dummett
110260,Sead Kolasinac
101605,Mike van der Hoorn
255505,Jake Hesketh
86794,Anthony Knockaert
71015,Gokhan Tore
12713,David Jones
125211,Hector Bellerin
38772,Geoff Cameron
80921,Shkodran Mustafi
317506,Tammy Abraham
317507,Fikayo Tomori
73078,Alexandre Lacazette
13756,Mesut Ozil
131171,Jonas Lossl
68312,Christian Benteke
68648,Matt Ritchie
124688,Divock Origi
32224,Nsue
100718,Stephen Kingsley
8806,Alex Baptiste
73380,Chris Wood
83895,Enner Valencia
44055,Pedro
40027,Jonjo Shelvey
43742,Jordon Mutch
33318,Beram Kayal
19847,Leonardo Ulloa
69346,Gylfi Sigurdsson
69344,Christian Eriksen
18181,Phil Bardsley
135242,Sandro Ramirez
302206,Ashley Fletcher
28416,Jefferson Montero
12462,Valon Behrami
2837,Jermain Defoe
58761,M'Baye Niang
140889,Baily Cargill
90810,Bruno Martins Indi
332418,Michael Ledger
74341,Joel Matip
108860,Davy Klaassen
122554,Nahki Wells
33891,Jay Rodriguez
34239,Sofiane Feghouli
104010,Antonio Rudiger
26222,Shinji Okazaki
29026,Zanka
13447,Andrew Surman
79050,Ashley Westwood
76050,James McClean
64343,Adlene Guedioura
