"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"M","Beram Kayal",3100,"CHE vs BHA 10:00AM ET",3.500,"BHA"
"M","Dale Stephens",3100,"CHE vs BHA 10:00AM ET",3.583,"BHA"
"M","Steve Sidwell",3100,"CHE vs BHA 10:00AM ET",0,"BHA"
"M","Jiri Skalak",3100,"CHE vs BHA 10:00AM ET",0,"BHA"
"M","Soufyan Ahannach",3100,"CHE vs BHA 10:00AM ET",0,"BHA"
"M","Des Hutchinson",3100,"CHE vs BHA 10:00AM ET",0,"BHA"
"M","Jayson Molumby",3100,"CHE vs BHA 10:00AM ET",0,"BHA"
"M"," Kenedy",3100,"CHE vs BHA 10:00AM ET",0,"CHE"
"M","Kyle Scott",3100,"CHE vs BHA 10:00AM ET",0,"CHE"
"M","Dujon Sterling",3100,"CHE vs BHA 10:00AM ET",0,"CHE"
"M","Ethan Ampadu",3100,"CHE vs BHA 10:00AM ET",1.000,"CHE"
"M","Callum Hudson-Odoi",3100,"CHE vs BHA 10:00AM ET",0,"CHE"
"D"," Zanka",3100,"HUD vs STK 10:00AM ET",3.125,"HUD"
"D","Bruno Martins Indi",3100,"HUD vs STK 10:00AM ET",2.063,"STK"
"M","Abdelhamid Sabiri",3100,"HUD vs STK 10:00AM ET",3.313,"HUD"
"M","Danny Williams",3100,"HUD vs STK 10:00AM ET",2.179,"HUD"
"M","Jonathan Hogg",3100,"HUD vs STK 10:00AM ET",2.625,"HUD"
"M","Philip Billing",3100,"HUD vs STK 10:00AM ET",2.214,"HUD"
"M","Kasey Palmer",3100,"HUD vs STK 10:00AM ET",1.250,"HUD"
"M","Dean Whitehead",3100,"HUD vs STK 10:00AM ET",0.167,"HUD"
"M","Stephen Ireland",3100,"HUD vs STK 10:00AM ET",0,"STK"
"M","Oliver Shenton",3100,"HUD vs STK 10:00AM ET",0,"STK"
