Player_id, won_contest, accurate_pass, touch_factor, aerial_won, saves, total_tackle_opp, yellow_card_opp, red_card_opp, goals, assists
38577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12417,4.0,272.0,0.77891863141,4.0,0.0,14.0,1.0,0.0,1.0,0.0
136451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79554,0.0,508.0,1.525702491,1.0,74.0,0.0,2.0,0.0,0.0,0.0
8484,4.0,709.0,2.10056393097,74.0,0.0,40.0,4.0,0.0,0.0,2.0
136456,2.0,236.0,0.497937910759,1.0,0.0,10.0,1.0,0.0,0.0,2.0
136455,1.0,15.0,0.045721562462,2.0,0.0,2.0,0.0,0.0,0.0,0.0
25832,14.0,492.0,2.2149094568,192.0,0.0,20.0,7.0,0.0,10.0,4.0
251136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25931,12.0,2145.0,4.14820648024,81.0,0.0,84.0,4.0,0.0,1.0,4.0
