Player_id, Others, Goalkeeper, Defender, Midfielder, Forward, Substitute
73399,0,19,0,0,0,36
322595,0,0,0,0,0,3
133381,0,0,0,0,7,27
322596,0,0,0,0,1,17
14179,0,0,0,0,0,8
130330,0,0,0,0,0,1
69956,0,0,0,36,1,15
19494,0,0,0,0,0,1
11981,0,0,46,0,0,6
114075,0,0,0,49,0,1
23444,0,0,0,48,2,2
322594,0,0,0,0,0,5
3553,0,0,0,8,2,9
140088,0,0,0,8,8,18
4145,0,0,33,0,0,0
121454,0,0,16,0,0,13
295133,0,0,0,0,0,1
33748,0,0,25,4,0,1
24711,0,0,13,8,0,4
275887,0,0,0,0,0,8
107395,0,19,0,0,0,1
19155,0,0,0,33,0,13
73084,0,0,0,44,6,4
3859,0,0,0,15,14,16
73382,0,0,0,0,4,7
108055,0,0,0,0,14,25
19277,0,0,43,0,0,0
19270,0,4,0,0,0,47
2856,0,0,0,0,0,3
73063,0,0,46,0,0,0
19782,0,22,0,0,0,14
125209,0,0,0,11,0,25
255961,0,0,8,1,0,10
255962,0,0,0,0,0,5
104368,0,0,6,0,0,3
243552,0,0,1,16,0,29
317804,0,0,0,7,9,1
98317,0,0,0,1,3,12
71714,0,0,0,36,0,2
69375,0,0,36,1,0,0
99165,0,0,0,0,0,1
8236,0,0,20,5,0,3
33831,0,2,0,0,0,52
142438,0,0,5,0,0,24
6292,0,0,4,0,0,13
13450,0,13,0,0,0,4
26682,0,0,4,2,0,26
32018,0,0,0,19,0,35
260451,0,0,0,0,0,9
80758,0,0,11,0,0,3
289253,0,0,0,0,7,35
298599,0,0,0,0,0,6
69778,0,0,34,12,0,5
75830,0,0,0,7,0,6
70483,0,4,0,0,0,10
327683,0,0,0,34,0,0
8730,0,0,0,20,0,9
8040,0,0,0,24,2,24
9156,0,0,0,41,0,11
121488,0,0,0,4,3,5
134668,0,0,0,0,0,18
34052,0,0,0,9,0,4
31558,0,0,10,1,0,3
136466,0,0,0,0,0,3
136396,0,0,0,0,0,3
303172,0,0,0,0,0,7
260779,0,0,0,0,0,8
23547,0,0,32,0,0,9
9484,0,28,0,0,0,0
108176,0,0,0,5,0,8
14524,0,0,0,0,3,0
330916,0,0,0,0,1,9
84129,0,0,0,0,0,2
17876,0,0,0,0,0,1
94024,0,0,0,0,13,25
70140,0,0,0,32,0,6
141246,0,0,1,0,0,9
106880,0,0,0,0,10,5
90549,0,0,0,0,0,3
135211,0,0,0,12,0,4
136945,0,0,0,11,5,39
12124,0,0,31,0,0,8
35371,0,0,0,2,9,34
9734,0,0,0,43,0,8
14038,0,0,0,2,0,18
3807,0,0,0,0,16,38
90000,0,0,0,10,7,8
8462,0,1,0,0,0,48
8466,0,0,22,0,0,16
332124,0,0,0,0,0,2
322655,0,0,11,0,0,2
322652,0,0,0,0,0,9
248351,0,0,0,7,5,7
32720,0,0,8,0,0,2
21686,0,0,0,28,3,20
8943,0,0,0,0,0,9
21682,0,9,0,0,0,19
21683,0,0,0,23,4,5
8194,0,0,0,23,0,12
8195,0,31,0,0,0,21
19119,0,0,7,40,0,2
9767,0,0,0,15,12,8
255777,0,0,0,10,2,16
135732,0,0,0,0,0,1
35691,0,0,0,30,0,21
138695,0,0,0,0,0,18
85059,0,0,0,28,17,1
36849,0,0,7,43,0,4
103837,0,0,17,12,0,21
3860,0,0,0,3,10,17
14621,0,0,1,0,0,7
133445,0,0,0,0,4,18
71824,0,0,0,1,15,1
243562,0,0,0,4,9,16
244565,0,0,0,5,0,6
331928,0,0,0,0,0,5
34974,0,0,0,0,1,33
331924,0,0,0,0,0,3
130331,0,0,10,0,0,7
130334,0,0,0,8,10,13
29820,0,0,8,0,0,32
31958,0,0,1,4,0,25
8408,0,0,48,0,0,5
71345,0,0,24,0,0,15
69517,0,0,1,23,16,2
345336,0,0,0,0,0,1
11530,0,54,0,0,0,0
34876,0,0,17,11,0,5
41589,0,0,2,7,0,22
11869,0,0,1,0,0,5
243511,0,0,11,11,0,3
13056,0,0,0,33,0,3
127119,0,0,0,3,1,9
82972,0,0,0,30,0,8
83297,0,0,0,0,2,18
43948,0,0,0,0,0,36
328106,0,0,0,0,0,1
83357,0,0,15,0,0,16
30635,0,0,1,0,0,12
338118,0,0,0,0,0,1
323097,0,0,0,0,0,8
14244,0,0,19,8,0,21
23220,0,0,17,0,0,20
4616,0,0,0,2,0,30
288989,0,0,0,0,0,4
23054,0,0,0,0,1,6
31826,0,0,22,4,0,0
235743,0,0,0,0,0,8
6105,0,0,35,0,0,15
13846,0,0,0,18,1,31
94935,0,0,49,0,0,0
94936,0,0,5,2,0,3
24444,0,0,0,0,12,36
27349,0,0,37,0,0,7
331089,0,0,0,0,0,8
277239,0,0,0,0,0,7
132838,0,0,0,1,0,7
30524,0,0,0,12,0,3
76304,0,0,0,17,20,3
10839,0,0,24,0,0,25
33590,0,0,0,38,2,15
136896,0,0,2,1,0,10
8166,0,0,13,7,0,14
31281,0,0,0,7,0,7
9446,0,0,4,6,2,21
9794,0,0,0,1,0,19
106086,0,0,19,0,0,19
22319,0,0,0,0,0,12
135865,0,0,0,0,0,2
92547,0,0,0,22,10,6
40560,0,0,0,0,0,9
41868,0,0,0,23,0,18
8247,0,0,0,39,0,7
101374,0,0,34,0,0,9
299451,0,0,0,1,3,26
319889,0,0,0,0,0,11
24248,0,0,0,0,35,1
90918,0,0,0,15,1,1
101373,0,0,0,0,0,1
100008,0,0,4,0,0,5
144711,0,0,0,18,13,16
260780,0,0,0,0,0,1
135663,0,0,0,1,1,15
29106,0,0,40,0,0,6
299271,0,0,1,3,0,6
299272,0,0,11,3,0,29
23757,0,0,0,0,33,4
34123,0,0,0,15,0,0
274630,0,0,0,0,1,15
145999,0,0,0,9,0,12
105577,0,0,0,11,1,0
73798,0,53,0,0,0,0
22932,0,0,2,17,9,4
13938,0,0,0,0,25,28
349484,0,0,0,0,0,1
344695,0,0,0,0,0,1
329820,0,0,0,0,0,1
108226,0,0,0,0,15,2
331582,0,0,0,0,0,15
12376,0,0,0,38,0,9
5625,0,0,0,10,2,19
294516,0,0,0,0,0,1
122926,0,0,0,9,0,8
42947,0,0,0,9,0,5
329677,0,0,0,0,0,6
141172,0,0,8,0,0,6
28746,0,10,0,0,0,26
74603,0,0,0,0,13,3
70050,0,0,21,0,0,8
25829,0,0,0,1,0,5
14102,0,0,0,44,3,5
21571,0,38,0,0,0,14
13727,0,0,0,1,0,0
79970,0,0,3,0,0,2
280766,0,0,0,0,1,0
29814,0,0,0,0,0,21
325156,0,0,0,0,0,4
273257,0,0,0,0,0,5
22847,0,0,0,42,0,11
22846,0,0,45,0,0,4
347436,0,0,0,1,0,4
21778,0,0,50,0,0,0
23683,0,0,51,0,0,3
3841,0,0,24,2,0,8
75198,0,0,0,4,0,2
343975,0,0,0,3,0,7
112009,0,0,1,0,0,0
110260,0,0,2,13,0,2
101605,0,0,16,0,0,24
255505,0,0,0,0,0,1
86794,0,0,0,13,0,3
71015,0,0,0,2,1,3
12713,0,0,0,1,0,0
125211,0,0,24,20,0,7
38772,0,0,10,16,0,4
80921,0,0,35,0,0,3
317506,0,0,0,0,12,4
317507,0,0,0,0,0,3
73078,0,0,0,0,14,3
13756,0,0,0,25,19,3
131171,0,17,0,0,0,0
68312,0,0,0,0,46,2
68648,0,0,0,17,0,0
124688,0,0,0,0,14,26
32224,0,0,3,1,0,7
100718,0,0,12,0,0,11
8806,0,0,0,0,0,2
73380,0,0,0,0,11,2
83895,0,0,0,3,5,27
44055,0,0,0,2,32,19
40027,0,0,0,9,0,6
43742,0,0,0,0,0,8
33318,0,0,0,1,0,4
19847,0,0,0,0,3,26
69346,0,0,0,25,26,3
69344,0,0,0,41,12,2
18181,0,0,18,0,0,22
135242,0,0,0,0,3,6
302206,0,0,0,0,2,29
28416,0,0,0,1,1,16
12462,0,0,1,25,0,5
2837,0,0,0,0,45,6
58761,0,0,0,8,7,1
140889,0,0,0,0,0,11
90810,0,0,40,0,0,6
332418,0,0,0,0,0,1
74341,0,0,40,0,0,4
