"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Scott Dann",3000,"SWA vs CRY 10:00AM ET",3.214,"CRY"
"D","Ciaran Clark",3000,"WHU vs NEW 10:00AM ET",3.855,"NEW"
"D","Sebastian Prodl",2900,"BHA vs WAT 10:00AM ET",2.000,"WAT"
"D","Simon Francis",2900,"MCI vs BOU 10:00AM ET",3.250,"BOU"
"D","Christopher Schindler",2900,"SOU vs HUD 10:00AM ET",4.485,"HUD"
"D","Kyle Bartley",2900,"SWA vs CRY 10:00AM ET",1.750,"SWA"
"D","Federico Fernandez",2900,"SWA vs CRY 10:00AM ET",3.354,"SWA"
"D","Damien Delaney",2900,"SWA vs CRY 10:00AM ET",2.500,"CRY"
"D","Jairo Riedewald",2900,"SWA vs CRY 10:00AM ET",0.900,"CRY"
"D","Florian Lejeune",2900,"WHU vs NEW 10:00AM ET",3.458,"NEW"
"D","Adrian Mariappa",2800,"BHA vs WAT 10:00AM ET",2.036,"WAT"
"D","Nathan Ake",2800,"MCI vs BOU 10:00AM ET",3.974,"BOU"
"D"," Zanka",2800,"SOU vs HUD 10:00AM ET",3.125,"HUD"
"D","Gareth McAuley",2800,"STK vs WBA 10:00AM ET",2.694,"WBA"
"D","Molla Wague",2700,"BHA vs WAT 10:00AM ET",3.333,"WAT"
"D","Younes Kaboul",2700,"BHA vs WAT 10:00AM ET",2.750,"WAT"
"D","Kevin Long",2700,"BUR vs TOT 12:30PM ET",4.667,"BUR"
"D","Steve Cook",2700,"MCI vs BOU 10:00AM ET",2.554,"BOU"
"D","Martin Cranie",2700,"SOU vs HUD 10:00AM ET",1.167,"HUD"
"D","Michael Hefele",2700,"SOU vs HUD 10:00AM ET",0.000,"HUD"
"D","Craig Cathcart",2600,"BHA vs WAT 10:00AM ET",0.000,"WAT"
"D","Brice Dja Djedje",2600,"BHA vs WAT 10:00AM ET",0,"WAT"
"D","Tommie Hoban",2600,"BHA vs WAT 10:00AM ET",0,"WAT"
"D","Brandon Mason",2600,"BHA vs WAT 10:00AM ET",0,"WAT"
"D","James Tarkowski",2600,"BUR vs TOT 12:30PM ET",4.278,"BUR"
"D","Ben Mee",2600,"BUR vs TOT 12:30PM ET",4.375,"BUR"
"D","Juan Foyth",2600,"BUR vs TOT 12:30PM ET",2.500,"TOT"
"D","Brad Smith",2600,"MCI vs BOU 10:00AM ET",2.000,"BOU"
"D","Jack Simpson",2600,"MCI vs BOU 10:00AM ET",0,"BOU"
"D","Tyrone Mings",2600,"MCI vs BOU 10:00AM ET",-0.250,"BOU"
"D","Benjamin Mendy",2600,"MCI vs BOU 10:00AM ET",8.900,"MCI"
"D","Tosin Adarabioyo",2600,"MCI vs BOU 10:00AM ET",3.000,"MCI"
"D","Demeaco Duhaney",2600,"MCI vs BOU 10:00AM ET",0,"MCI"
"D","Jon Gorenc Stankovic",2600,"SOU vs HUD 10:00AM ET",0,"HUD"
"D","Harry Souttar",2600,"STK vs WBA 10:00AM ET",0,"STK"
"D","Max Melbourne",2600,"STK vs WBA 10:00AM ET",0,"WBA"
"D","Nathan Ferguson",2600,"STK vs WBA 10:00AM ET",0,"WBA"
"D","Joe Rodon",2600,"SWA vs CRY 10:00AM ET",0,"SWA"
"D","Brandon Cooper",2600,"SWA vs CRY 10:00AM ET",0,"SWA"
"D","Michael Phillips",2600,"SWA vs CRY 10:00AM ET",0,"CRY"
