"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"D","Vincent Kompany",3700,"MCI vs BOU 10:00AM ET",1.688,"MCI"
"M/F","Oleksandr Zinchenko",3700,"MCI vs BOU 10:00AM ET",1.333,"MCI"
"F","Matt Butcher",3700,"MCI vs BOU 10:00AM ET",0,"BOU"
"F","Lukas Nmecha",3700,"MCI vs BOU 10:00AM ET",0,"MCI"
"D","Chris Lowe",3700,"SOU vs HUD 10:00AM ET",4.750,"HUD"
"M","Pierre-Emile Højbjerg",3700,"SOU vs HUD 10:00AM ET",4.300,"SOU"
"F","Elias Kachunga",3700,"SOU vs HUD 10:00AM ET",5.765,"HUD"
"F","Joe Lolley",3700,"SOU vs HUD 10:00AM ET",0.000,"HUD"
"D","Thomas Edwards",3700,"STK vs WBA 10:00AM ET",1.875,"STK"
"D","Kieran Gibbs",3700,"STK vs WBA 10:00AM ET",4.917,"WBA"
"M","Darren Fletcher",3700,"STK vs WBA 10:00AM ET",5.900,"STK"
"F","Julien Ngoy",3700,"STK vs WBA 10:00AM ET",0,"STK"
"F","Thibaud Verlinden",3700,"STK vs WBA 10:00AM ET",0,"STK"
"F","Rayhaan Tulloch",3700,"STK vs WBA 10:00AM ET",0,"WBA"
"D","Timothy Fosu-Mensah",3700,"SWA vs CRY 10:00AM ET",4.229,"CRY"
"M","Ki Sung-yueng",3700,"SWA vs CRY 10:00AM ET",3.825,"SWA"
"F","Oliver McBurnie",3700,"SWA vs CRY 10:00AM ET",0.821,"SWA"
"D","Jamie Sterry",3700,"WHU vs NEW 10:00AM ET",0,"NEW"
"D","Toby Alderweireld",3600,"BUR vs TOT 12:30PM ET",3.611,"TOT"
"D","Davinson Sanchez",3600,"BUR vs TOT 12:30PM ET",3.060,"TOT"
"GK","Asmir Begovic",3600,"MCI vs BOU 10:00AM ET",6.000,"BOU"
"D","Tommy Smith",3600,"SOU vs HUD 10:00AM ET",5.518,"HUD"
"D","Maya Yoshida",3600,"SOU vs HUD 10:00AM ET",4.984,"SOU"
